project_id,constituency_id,district,state,mp_name,work_category,sanctioned_amount,released_amount,expenditure_amount,sanction_date,completion_date,status,implementing_agency,contractor_name,contractor_reg_no,contractor_address,contractor_pan,latitude,longitude,completion_certificate,geo_photo_uploaded,financial_year
M-THA-2023-0001,MH-04,Thane,Maharashtra,MP Nimrat Shankar,water,479068,447379,443470,2023-08-05,2023-11-30,completed,Zila Parishad Engineering Division,Nagi-Chaudhry Builders,REG-127,"563, Dada Ganj, Thane, PIN - 523160",HMKRU7899R,19.173861,72.933832,True,True,2023-24
UP-MEE-2023-0002,UP-09,Meerut,Uttar Pradesh,MP Vedant Chadha,drainage,998050,998050,998050,2023-11-19,2024-03-11,completed,Public Works Department (PWD),M/s Maa Durga Infrastructure,REG-BR-442,"84, Rajan Nagar, Meerut, PIN - 800001",MDUIN9988K,28.989274,77.692497,False,False,2023-24
R-KOT-2024-0003,RJ-03,Kota,Rajasthan,MP Harsh Bhatti,drainage,1056043,910437,849677,2024-03-11,2024-08-20,completed,Zila Parishad Engineering Division,Ganesan Inc Builders,REG-277,"13/433
Rama Circle, Kota, PIN - 591992",XWTBD2365K,25.23532,75.785554,True,True,2024-25
T-WAR-2023-0004,TS-02,Warangal,Telangana,MP Bhavika Din,road,485067,485067,485067,2023-10-14,2024-03-21,completed,District Rural Development Agency (DRDA),National Infra Conclave,REG-DL-990,"65/89
Mall Path, Warangal, PIN - 110001",NATIN3322R,17.920806,79.573796,True,True,2023-24
O-CUT-2023-0005,OD-02,Cuttack,Odisha,MP Nathaniel Prakash,building,3844462,3558051,3311163,2023-12-12,2024-10-01,completed,Water Supply & Sanitation Board,Borra Inc Builders,REG-170,"H.No. 67
Ganguly Zila, Cuttack, PIN - 366150",ITBLZ9022L,20.430212,85.849332,True,True,2023-24
WB-DAR-2023-0006,WB-03,Darjeeling,West Bengal,MP Orinder Dugal,water,882157,846055,772550,2023-03-26,2023-07-06,completed,Water Supply & Sanitation Board,"Chakrabarti, Borra and Tata Builders",REG-912,"795, Khalsa Ganj, Darjeeling, PIN - 256583",RGZAK4724Z,26.988038,88.244955,True,True,2023-24
K-MYS-2023-0007,KA-02,Mysuru,Karnataka,MP Yashica Rajan,road,2780000,2780000,2724400,2023-11-27,,stalled,Water Supply & Sanitation Board,Royal Highway Builders,REG-RJ-551,"75/70, Virk Road, Mysuru, PIN - 302001",RYHB8822P,12.291703,76.5839,False,False,2023-24
G-SUR-2024-0008,GJ-02,Surat,Gujarat,MP Rachita Jhaveri,road,1103080,1086305,1033248,2024-10-20,,stalled,Rural Engineering Services (RES),"Krishna, Mittal and Das Builders",REG-187,"23
Gill Road, Surat, PIN - 370247",YMVKB6015J,21.135433,72.876662,False,False,2024-25
O-KHO-2024-0009,OD-01,Khordha,Odisha,MP Girik Swamy,drainage,1003731,956787,907097,2024-03-02,2024-05-28,completed,District Rural Development Agency (DRDA),"Shukla, Peri and Narain Builders",REG-925,"H.No. 42
Tara Street, Khordha, PIN - 277414",GPOSS4428Y,20.10324,85.55204,True,True,2024-25
O-CUT-2023-0010,OD-02,Cuttack,Odisha,MP Nathaniel Rastogi,community_hall,4283415,3831100,3625859,2023-05-21,2024-01-26,completed,Zila Parishad Engineering Division,Tandon-Kulkarni Builders,REG-604,"H.No. 11
Vaidya Circle, Cuttack, PIN - 231761",XFBVX3419J,20.522362,85.93916,True,True,2023-24
UP-VAR-2023-0011,UP-05,Varanasi,Uttar Pradesh,MP Chakrika Rama,road,1830308,1675934,1612551,2023-11-21,2024-06-01,completed,Rural Engineering Services (RES),Kashyap-Chanda Builders,REG-437,"H.No. 431
Badal Nagar, Varanasi, PIN - 351192",IBWTA5572G,25.367994,82.923159,True,True,2023-24
MP-JAB-2023-0012,MP-03,Jabalpur,Madhya Pradesh,MP Agastya Parekh,community_hall,2303217,2283340,2091401,2023-02-05,,ongoing,Public Works Department (PWD),Din-Manne Builders,REG-333,"72, Gaba Circle, Jabalpur, PIN - 643541",MNBWE1786D,23.229862,80.014943,False,False,2023-24
O-CUT-2024-0013,OD-02,Cuttack,Odisha,MP Nachiket Dhar,building,2940300,2527189,2439994,2024-08-04,2025-06-24,completed,Municipal Corporation Engineering Cell,Tripathi Ltd Builders,REG-251,"280
Chaudhari Path, Cuttack, PIN - 725104",NAXFD7983A,20.505305,85.895064,True,True,2024-25
K-DHA-2024-0014,KA-03,Dharwad,Karnataka,MP Praneel Ravi,road,1868448,1777724,1668372,2024-11-24,,stalled,Municipal Corporation Engineering Cell,Sibal-Mukhopadhyay Builders,REG-540,"H.No. 28, Chad Circle, Dharwad, PIN - 243636",OLABW9585E,15.380763,75.077299,False,False,2024-25
B-GAY-2024-0015,BR-02,Gaya,Bihar,MP Pratyush Dalal,water,1082968,986033,910601,2024-01-17,,ongoing,Rural Engineering Services (RES),Vala-Bobal Builders,REG-373,"H.No. 280
Bala Chowk, Gaya, PIN - 649403",UVUON5192S,24.839602,84.991896,False,False,2024-25
MP-JAB-2023-0016,MP-03,Jabalpur,Madhya Pradesh,MP Yauvani Rajagopal,road,1161588,1040422,989268,2023-02-26,2023-07-22,completed,District Rural Development Agency (DRDA),Sami Ltd Builders,REG-195,"09
Tak, Jabalpur, PIN - 796385",LAYFR1619I,23.253557,79.964535,True,True,2023-24
O-KHO-2024-0017,OD-01,Khordha,Odisha,MP Saumya Kari,community_hall,3165012,2795535,2611409,2024-12-15,2025-09-19,completed,District Rural Development Agency (DRDA),"Dyal, Cheema and Thaman Builders",REG-163,"40/38
Dhingra Path, Khordha, PIN - 268471",QKJJE0428S,20.184718,85.650135,True,True,2024-25
B-MUZ-2023-0018,BR-03,Muzaffarpur,Bihar,MP Isaiah Sachdev,solar,536377,492692,481922,2023-04-04,2023-07-30,completed,Water Supply & Sanitation Board,Chaudhary-Bajaj Builders,REG-195,"468
Oza Zila, Muzaffarpur, PIN - 418528",NEGKO2474A,26.162044,85.29214,True,True,2023-24
WB-MUR-2024-0019,WB-04,Murshidabad,West Bengal,MP Tara Naidu,building,2488277,2488277,2488277,2024-01-17,2024-11-08,completed,Public Works Department (PWD),National Infra Conclave,REG-DL-990,"88, Goel Ganj, Murshidabad, PIN - 110001",NATIN3322R,24.206591,88.227984,False,False,2024-25
K-MYS-2024-0020,KA-02,Mysuru,Karnataka,MP Nakul Dhaliwal,solar,700538,700538,700538,2024-09-13,2024-11-06,completed,Public Works Department (PWD),Surya Dev Projects Ltd,REG-MP-883,"571
Wali, Mysuru, PIN - 462001",SDPL4433Q,12.371079,76.631855,False,False,2024-25
